word;d;type;t
attractive;atractivo;adj;{adj} (having the power of charming)
attractively;hermosamente;adv;{adv} (in an attractive manner)
attractiveness;atractivo {m};n;{n} (state of being attractive or engaging)
attributable;"atribuible, imputable";adj;{adj} (capable of being attributed)
attribute;atributo {m};n;{n} /?�tr?bjut/ (characteristic or quality)
attribute;atribuir;v;{v} (to associate ownership or authorship with)
attribution;atribuci�n {f};n;{n} (acknowledgment of ownership or authorship)
attributive;antecedente;adj;{adj} /?.?tr?.bju.t?v/
attributive adjective;adjectivo atributivo {m};n;{n} (adjective that describes only an attribute)
attrition;atrici�n {f};n;{n} /??t????n]/ (wearing by friction)
attune;"adecuar, adaptar";v;{v} /?tj??n/ (to bring into harmony or accord)
ATV;"cuatrimoto {m}, cuadriciclo {m}, cuatriciclo {m}, quad {m}";initialism;{initialism} (all-terrain vehicle)
atypical;at�pico;adj;{adj} /e?.?t?p.?.k?l/ (not conforming to the norm)
aubade;alborada;n;{n} (morning love song)
aubade;alborada;n;{n} (morning music)
aubade;alborada;n;{n} /o??b??d/ (song or poem greeting dawn)
aubergine;;n;{n} /???.b?.?i?n/ (eggplant) SEE:
auburn;casta�o;adj;{adj} (reddish-brown)
Auckland;Auckland;prop;{prop} (the largest conurbation in New Zealand)
au contraire;"en contrario, por el contrario";adv;{adv} /??? ?k?n.t???(?)/ (on the contrary)
auction;"subasta {f}, remate";n;{n} /???k??n/ (public sales event)
auction;"subastar, rematar";v;{v} (to sell at an auction)
auctionable;rematable;adj;{adj} (able to be auctioned)
auctioneer;"pregonero {m} {f}, subastador {m}, rematador {m}";n;{n} (one who conducts an auction)
auctioneer;"rematar, subastar";v;{v} (to sell at an auction)
audacious;insolente;adj;{adj} (impudent)
audacious;audaz;adj;{adj} /???de???s/ (showing willingness to take bold risks)
audacity;"osad�a {f}, audacia {f}";n;{n} (fearless daring)
audacity;audacia {f};n;{n} (insolent boldness)
audible;"o�ble, audible";adj;{adj} /??dibl?/ (being able to be heard)
audience;audiencia {f};n;{n} (formal meeting with a state or religious dignitary)
audience;"audiencia {f}, p�blico {m}";n;{n} /???di?ns/ (group of people seeing a performance)
audience;p�blico {m};n;{n}
audience;p�blico {m};n;{n} (readership of a written publication)
audio;"de sonido, de audio";adj;{adj} /??.di.o?/ (of or relating to audible sound)
audio;audio {m};n;{n} (a sound or a sound signal)
audiobook;audiolibro {m};n;{n} (audiobook)
audio guide;audiogu�a {f};n;{n} (form of apparatus)
audiometer;"aud�metro {m}, audi�metro {m}";n;{n} (instrument)
audiometry;audiometr�a {f};n;{n} (assessment of a person's hearing ability)
audiovisual;audiovisual;adj;{adj} (audiovisual)
audit;auditor�a {f};n;{n} (examination in general)
audit;auditor�a {f};n;{n} (independent review)
audit;auditar;v;{v} (to conduct an independent review)
audition;audici�n {f};n;{n} (performance by an aspiring performer)
audition;"o�do {m}, audici�n {f}";n;{n} (sense of hearing)
audition;hacer una audici�n;v;{v} (evaluate one or more performers in through an audition)
auditor;"auditor {m}, auditora {f}";n;{n} (one who audits bookkeeping accounts)
auditorium;"auditorio {m}, sala {f}";n;{n} (a large room for public meetings or performances)
auditory;auditivo;adj;{adj} (of or pertaining to hearing)
auger;barrena; barreno; taladrador; taladro;n;{n} (carpenter's tool)
auger;;n;{n} (plumber's snake) SEE:
aught;nada;pron;{pron} /?t/ (anything)
augite;augita {f};n;{n} (mineral)
augment;"aumentar, incrementar";v;"{v} /???m?nt/ (to increase, make larger or supplement)"
augmentative;aumentativo;adj;"{adj} (growing, enlarging, increasing)"
augmentative;aumentativo {m};n;{n} (expressing large size)
augur;augur {m};n;{n} /??.??/ (diviner who foretells events by unusual occurrences)
augur;"augurar, presagiar";v;{v} (to foretell events; to exhibit signs of future events)
augury;"augurio {m}, presagio {m}, ag�ero {m}";n;{n} (divination based on the appearance and behaviour of animals)
august;"majestuoso {m}, augusto";adj;"{adj} /?????st/ (noble, majestic, awe-inspiring)"
August;;prop;{prop} (female given name) SEE:
August;;prop;{prop} (male given name) SEE:
August;agosto {m};prop;{prop} /?????st/ (eighth month of the Gregorian calendar)
Augustine;"August�n, Agust�n";prop;{prop} (male given name)
Augustus;Augusto {m};prop;{prop} /?????st?s/ (Roman emperor)
auk;alca {f};n;{n} /??k/ (seabird of the family Alcidae)
aulete;;n;{n} (flautist) SEE:
aunt;t�a {f};n;{n} /�nt/ (a parent�s sister or sister-in-law)
aunt;;n;{n} (grandmother) SEE:
aunt;;n;{n} (great-aunt or grandaunt) SEE:
au pair;de au pair;n;{n} (a single girl or boy staying as a guest with a host family)
aura;aura;n;{n} (An invisible force surrounding a living creature.)
aura;aura {f};n;{n} (The distinctive atmosphere or quality associated with someone or something)
aural;auditivo;adj;{adj} (Of or pertaining to the ear)
aurally;auditivamente;adv;{adv} (Perceived by the ear)
Aurelia;Aurelia;n;{n} (female given name)
Aurelius;Aurelio {m};prop;{prop} (male given name)
aureola;aureola {f};n;{n} (luminous cloud)
auricle;aur�cula {f};n;{n} (botany: appendage in the shape of an earlobe)
auricle;;n;{n} (outer ear) SEE:
auricle;;n;{n} (smaller of the two types of heart chamber) SEE:
auricular muscle;m�sculo auricular {m};n;{n} (muscle)
auriferous;aur�fero;adj;{adj} (containing gold)
Auriga;Auriga;prop;{prop} (constellation)
aurochs;;n;{n} (European bison) SEE:
aurochs;uro {m};n;{n} /???r?ks/ (
aurora;aurora {f};n;{n} (an atmospheric phenomenon)
Aurora;Aurora;prop;{prop} (female given name)
Aurora;Aurora;prop;{prop} (Roman goddess of dawn)
aurora australis;;n;{n} (southern lights) SEE:
aurora borealis;;n;{n} /?????(?).? ?b??(?).i.�l.?s/ (aurora of the northern hemisphere) SEE:
Auschwitz;Auschwitz {m};prop;{prop} (city in Poland)
Auschwitz;Auschwitz {m};prop;{prop} (concentration camp)
auscultate;auscultar;v;{v} (to practice auscultation)
auscultation;auscultaci�n {f};n;{n} (diagnosis by stethoscope or similar auditory device)
auspices;auspicios {m} {p};n;{n} (patronage or protection)
auspicious;"prometedor, propicio";adj;{adj} /??sp???s/ (auguring favourable circumstances and good luck)
auster;;n;{n} (auster(wind)) SEE:
austere;austero;adj;{adj} (not extravagant)
austere;severo;adj;"{adj} /??sti??/ (grim, stern, strict)"
austerity;austeridad {f};n;{n} (severity of manners or life)
austral;austral;adj;"{adj} (Of, relating to, or coming from the south)"
austral;austral {m};n;{n} (currency)
Australia;Australia {f};prop;{prop} (continent of Australia)
Australia;Australia {f};prop;{prop} /??st?e?.li.?/ (Commonwealth of Australia)
Australian;australiano;adj;"{adj} (of or pertaining to Australia, the Australian people or languages)"
Australian;"australiano {m}, australiana {f}";n;{n} (a person from the country of Australia or of Australian descent)
Australian Capital Territory;Territorio Capital Australiano {m};prop;{prop} (Territory of Australia)
Australian dollar;d�lar australiano {m};n;{n} (official currency of Australia)
Australian pelican;pel�cano australiano {m};n;{n} (species of pelican)
Australian Sign Language;;prop;{prop} (Auslan) SEE:
Austria;Austria {f};prop;{prop} /??s.t?i.?/ (Austria)
Austria-Hungary;Austria-Hungr�a {f};prop;{prop} (former country in Central Europe)
Austrian;"austriaco, austr�aco";adj;{adj} (related to Austria)
Austrian;"austriaco {m}, austr�aco {m}, austriaca {f}, austr�aca {f}";n;{n} /???stri?n/ (Austrian person)
authentic;aut�ntico;adj;{adj} /?.???n.t?k/ (of undisputed origin)
authenticate;"autentificar, autenticar";v;{v} /?.???n.t?.ke?t/ (To render authentic)
authenticate;"autentificar, autenticar";v;{v} (To prove authentic)
authentic cadence;cadencia aut�ntica {f};n;{n} (cadence where dominant resolves to tonic)
authenticity;autenticidad {f};n;{n} (the quality of being genuine or not corrupted from the original)
author;"autor {m}, autora {f}, escritor {m}, escritora {f}";n;{n} /????/ (originator or creator of a work)
author;;n;{n} (writer) SEE:
author;escribir;v;{v} (to create a work as its author)
authoritarian;autoritario;adj;{adj} (characterised by a tyrannical obedience to an authority; dictatorial)
authoritarian;autoritario;adj;"{adj} (of, or relating to, absolute obedience to an authority)"
authoritative;"fidedigno, autorizado";adj;{adj} (accurate or definitive)
authoritative;autoritativo;adj;{adj} /???or??te?t?v/ (originating from a figure of authority)
authoritative;autoritario;adj;{adj} (having a commanding style)
authoritatively;"con autoridad, autoritativamente";adv;{adv} (in an authoritative manner)
authority;autoridad {f};n;{n} /??????ti/ (power to enforce rules or give orders)
authorization;autorizaci�n {f};n;{n} (act of authorizing)
authorization;autorizaci�n {f};n;"{n} (formal sanction, permission or warrant)"
authorization;autorizaci�n {f};n;{n} (power or right to give orders)
authorize;autorizar;v;{v} /?????a?z]/ (to grant someone the power or authority to do something specific)
authorize;facultar;v;{v} (to give someone permission; to sanction or consent)
authorship;autor�a;n;{n} (quality or state of being an author)
autism;autismo {m};n;{n} (abnormal self-absorption)
autistic;autista;adj;"{adj} (pertaining to, or suffering from autism)"
autistic;autista {m} {f};n;{n} (person suffering from autism)
autobiographer;autobi�grafo {m};n;{n} (one who writes his or her own biography)
autobiographic;;adj;{adj} /???.t???ba?.?.??�f.?k.?l/ (autobiographical) SEE:
autobiographical;autobiogr�fico;adj;{adj} /??to??ba????r�f?k?l/ (of or relating to person's life)
autobiography;autobiograf�a {f};n;{n} (biography of oneself)
autocatalysis;autocat�lisis {f};n;{n} (catalysis of a reaction by one of its products)
autochthonous;aut�ctono;adj;{adj} /???t?k??n?s/ (native to the place where found)
autoclave;autoclave {f};n;{n} /??t??kle?v/ (sterilized heating vessel)
autocracy;autocracia {f};n;{n} (form of government)
autocrat;aut�crata {m};n;{n} (ruler with absolute power)
autocratic;autocr�tico;adj;{adj} (of or pertaining to autocracy or an autocrat)
autocratic;autocr�tico;adj;{adj} (of or pertaining to the manner of an autocrat)
autodidact;"autodidacto {m}, autodidacta {f}";n;{n} (a self-taught person)
autograph;"firma {f}, aut�grafo {m}";n;{n} (signature)
autograph;autografiar;v;"{v} (to sign, or write one�s name or signature on a book)"
autoimmunity;autoinmunidad {f};n;{n} (condition where the immune system attacks the body's own tissues)
auto insurance;"seguro automotor {m}, seguro automotriz {m}";n;{n} (insurance purchased by the owner of a vehicle)
autolysis;autolisis {f};n;{n} (the destruction of an organism's cells by enzymes)
automagically;autom�gicamente;adv;{adv} (automatically)
automate;automatizar;v;{v} (to replace or enhance human labor with machines)
automated teller machine;"cajero autom�tico {m}, [Chile] redbanc {m}";n;{n} (banking)
automatic;autom�tico;adj;{adj} (describing a firearm which fires continuously)
automatic;autom�tico {m};adj;{adj} /??t??m�t?k/ (capable of operating without external control)
automatic;autom�tico {m};n;{n} (A car with automatic transmission)
automatic;semi-autom�tica {f};n;{n} (A semi-automatic pistol)
automatically;autom�ticamente;adv;{adv} /???t???m�t.?k(.?)li/ (In an automatic manner)
automatic teller machine;;n;{n} (automated teller machine) SEE:
automation;automatizaci�n;n;{n} (converting the controlling of a machine to an automatic system)
automatize;automatizar;v;{v} (to make automatic)
automaton;aut�mata {m};n;{n} /???t?m?t?n/ (machine or robot designed to follow a precise sequence of instructions)
automobile;"autom�vil {m}, carro {m}, coche {f}, auto {m}";n;{n} /??.t?.mo?.?b?il/ (passenger vehicle)
automotive;automotor;adj;{adj} (having the ability to move by itself; self-propelled or self-propelling)
automotive;automotor;adj;"{adj} (of, or relating to motor vehicles)"
autonomic nervous system;sistema nervioso aut�nomo {m};n;{n} (autonomic nervous system)
autonomous;aut�nomo;adj;{adj} (acting on one's own)
autonomous;aut�nomo {m};adj;{adj} (self-governing)
autonomous community;comunidad aut�noma {f};n;{n}
autonomy;autonom�a {f};n;{n} (capacity for individual decision)
autonomy;autonom�a {f};n;{n} (self-government)
autopsy;autopsia {f};n;{n} /???t?psi/ (a dissection performed on a cadaver)
autosome;autosoma {m};n;{n} /???t?s??m/ (any chromosome other than sex chromosomes)
autoteller;;n;{n} (automated teller machine) SEE:
autotomy;autotom�a {f};n;{n} /???t?t?mi/ (invertebrate self-defense mechanism)
autumn;oto�o {m};n;{n} /??.t?m/ (season)
autumnal;oto�al;adj;{adj} (of or relating to autumn)
autumnal equinox;equinoccio oto�al {m};n;{n} (moment)
autumnal equinox;equinoccio oto�al {m};n;{n} (point)
autumn equinox;;n;{n} (autumnal equinox) SEE:
auxiliary;auxiliar;adj;{adj} /?g?z?l??i/ (supplementary or subsidiary)
auxiliary;auxiliar;n;{n} (auxiliary verb)
auxiliary;"auxiliar {m} {f}, ayudante {m} {f}";n;{n} (person or group that acts in an auxiliary manner)
auxiliary language;"lengua auxiliar {f}, auxilengua {f}";n;{n} (auxiliary language)
auxiliary verb;verbo auxiliar {m};n;{n} (a helping verb)
avail;aprovechar;v;{v} /??ve?l/ (to turn to the advantage of)
avail;servir;v;{v} (to be of service to)
availability;disponibilidad {f};n;{n} (the quality of being available)
available;disponible;adj;{adj} /??ve?l?b(?)l/ (capable of being used)
available;disponible;adj;{adj} (readily obtainable)
avalanche;"alud {m}, avalancha {f}";n;{n} /?�v?l�nt?/ (large sliding mass of snow and ice)
avant-garde;vanguardia {f};n;{n} /�?v�t.???(?)d/ (Group of people promoting new concepts)
Avar;�varo {m};n;{n} (person)
Avar;"idioma avar {m}, idioma �varo {m}, �varo {m}";prop;{prop} (language)
avarice;"avaricia {f}, codicia {f}";n;{n} /?�v???s/ (excessive or inordinate desire of gain)
avaricious;"avaricioso, codicioso";adj;{adj} /?�v??r???s/ (actuated by avarice)
avatar;"avatar {m}, emblema, s�mbolo";n;{n} (A digital representation of a person or being)
avatar;"avatar {m}, encarnaci�n";n;"{n} /?�v.?.t??/ (The earthly incarnation of a deity, particularly Vishnu)"
avatar;"materializaci�n {f}, personificaci�n {f}";n;{n} (The physical embodiment of an idea or concept; a personification)
Avellino;Avellino;prop;{prop} (town and capital of Avellino)
avenge;vengar;v;{v} (to take vengeance for)
avenger;"vengador {m}, vengadora {f}";n;"{n} (one who avenges or vindicates; as, an avenger of blood)"
aventurine;"aventurina {f}, venturina {f}";n;{n} (quartz)
avenue;avenida;n;{n} /?�v.??nu/ (broad street)
avenue;"v�a {f}, camino {m}";n;{n} (a method or means)
average;medio;adj;{adj} (constituting or relating to the average)
average;"ni fu ni fa, promedio";adj;{adj} (neither very good nor very bad)
average;promedio {m};n;{n} /?�v???d?/ (arithmetic mean)
Avernus;;prop;{prop} (underworld) SEE:
averse;opuesto {m};adj;{adj} /??v??(r)s/ (having opposition of mind)
aversion;aversi�n {f};n;{n} /??v??n/ (fixed dislike)
avert;apartar;v;{v} (to turn aside)
avert;evitar;v;{v} (to ward off)
Avestan;av�stico {m};prop;{prop} /??v?st(?)n/ (Old Iranian language)
avian;aviar;adj;{adj} /?e?vi?n/ (of birds)
avian flu;;n;{n} (avian influenza) SEE:
avian influenza;gripe aviar {f};n;{n} (strain of influenza)
aviary;"pajarera {f}, aviario {m}";n;{n} /?e?v???i/ (confinement for keeping birds)
aviation;aviaci�n {f};n;{n} (art or science of flying)
aviator;"aviador {m}, aviadora {f}";n;{n} (aircraft pilot)
Avicenna;Avicena {m};prop;{prop} (a Persian polymath)
aviculture;avicultura {f};n;{n} (bird breeding)
avid;�vido;adj;{adj} /�v?d/ (enthusiastic; passionate)
avid;�vido;adj;{adj} (longing eagerly; eager; greedy)
avocado;"aguacate {m}, palto {m}";n;{n} (tree)
avocado;"aguacate {m}, palta {f} [Argentina, Bolivia, Chile, Ecuador, Paraguay, Uruguay], cura {f} [Colombia, dated]";n;{n} /?v??k?do?/ (fruit)
avocation;"pasatiempo {m}, afici�n {f}";n;{n} /�vo??ke???n/ (hobby)
avocet;avoceta {f};n;{n} /?�v??s?t/ (bird)
Avogadro's number;n�mero de Avogadro {m};n;{n} (number of atoms present in 0.012 kilograms of isotopically pure Carbon-12)
avoid;evitar;v;{v} /??v??d/ (to keep away from)
avoidable;evitable;adj;"{adj} (capable of being avoided, shunned, or escaped)"
avoidable;evitable;adj;{adj} (capable of being vacated; liable to be annulled or made invalid; voidable)
avow;"confesar, admitir, reconocer";v;{v} (declare openly)
avowal;reconocimiento {m};n;{n} (declaration of affirmation)
Avraham;;prop;{prop} (given name) SEE:
await;esperar;v;{v} /??w??t/ (transitive: to wait for)
await;esperar;v;{v} (transitive: to expect)
awake;"listo, despierto";adj;"{adj} (alert, aware)"
awake;despierto;adj;{adj} /??we?k/ (conscious)
awake;despertar;v;{v} (to cause someone to stop sleeping)
awake;despertarse;v;{v} (to gain consciousness)
awaken;despertarse;v;{v} (intransitive: to stop sleeping)
awaken;despertar;v;{v} (transitive: to cause to become awake)
awaken;despertar;v;{v} (transitive: to cause to become conscious)
award;laudo {m};n;{n} (decision of arbitrators)
award;"premio {m}, galard�n {m}";n;{n} (trophy or medal)
award;premiar;v;{v} (give an award/prize for merit)
award;"fallar, decretar, sentenciar";v;{v} (to give by judicial determination)
award;"premiar, galardonar";v;{v} (to make an award)
aware;consciente;adj;{adj} (having knowledge of something)
aware;alerta;adj;"{adj} (vigilant, on one's guard)"
awareness;conciencia {f};n;{n} (the state of consciousness)
awash;inundado;adj;{adj} (Washed by the waves or tide)
a watched pot never boils;el ojo del amo engorda al caballo;proverb;{proverb} (proverb)
away;"lejos, ausente";adv;{adv} (absent; gone; at a distance)
away;lejos;adv;{adv} (at a distance in time or space)
away;fuera;adv;{adv} /??we?/ (from a place; hence)
away side;;n;{n} (away side) SEE:
away team;;n;{n} (visiting team) SEE:
awe;asombro {m};n;{n} (feeling of amazement)
awe;pavor {m};n;{n} /?/ (feeling of fear and reverence)
awe;"asombrar, abrumar";v;{v} (to inspire fear and reverence)
awesome;"tremendo, piola";adj;"{adj} /??s.?m/ (excellent, exciting)"
awestricken;;adj;{adj} (awestruck) SEE:
awestruck;asombrado;adj;{adj} (filled with awe)
awful;"horrible, espantoso, terrible, tremendo";adj;{adj}
awful;"horrible, terrible, atroz";adj;{adj} (oppressing with fear; appalling; terrible)
awfully;;adv;{adv} (badly) SEE:
awfully;;adv;{adv} (fearfully) SEE:
awfully;asombroso;adv;{adv} (in an awe-inspiring manner)
awfully;;adv;{adv} (reverently) SEE:
awfully;;adv;{adv} (very) SEE:
awhile;"un rato, alg�n tiempo";adv;{adv} (For some time; for a short time)
awkward;"embarazoso, delicado";adj;{adj} (not easily managed or effected; embarrassing)
awkward;"torpe, desma�ado";adj;{adj} /?kw?d/ (lacking dexterity in the use of the hands)
awkwardness;torpeza;n;{n} (the state or quality of being awkward)
awl;"lezna {f}, lesna {f}, alesna {f}, punz�n {m}";n;{n} /??l/ (a pointed instrument)
awning;toldo {m};n;{n} /???n??/ (a rooflike cover)
AWOL;ausente sin licencia;n;{n} (military: absence without proper authority)
awry;torcido;adj;{adj} /???ai/ (turned or twisted toward one side)
axe;hacha {f};n;{n} /�ks/ (tool)
axil;axilar {f};n;{n} /?�k.s?l/ (angle or point of divergence)
axillary;axilar;adj;{adj} (botany)
axillary;axilar;adj;{adj} (of or pertaining to the axilla)
axiom;axioma {m};n;{n} /?�ks.i.?m/ (philosophy: supposed self?evident or necessary truth)
axiom;axioma {m};n;{n} (established principle in art or science)
axiom;axioma {m};n;{n} (mathematics: fundamental theorem)
axiomatic;axiom�tico;adj;{adj} (evident without proof or argument)
axiomatic;axiom�tico;adj;{adj} (of or pertaining to an axiom)
axiomatically;axiom�ticamente;adv;{adv} (by the use of axioms)
axis;eje {m};n;{n} /?�ks?s/ (geometry: imaginary line)
axis;eje {m};n;{n} (basis of space or part of graph)
axis;axis {m};n;{n} (second cervical vertebra)
axis of evil;eje del mal {m};n;{n} (countries disliked by American neoconservatives)
axle;eje {m};n;"{n} /?�ks?l/ (the pin or spindle on which a wheel revolves, or which revolves with a wheel)"
axle;eje {m};n;{n} (an axis)
axle;eje {m};n;{n} (a transverse bar or shaft)
axolotl;"ajolote {m}, ajolota {f}";n;{n} /?�k.s??l?.??l/ (amphibian of the salamander tribe)
axon;"ax�n {m}, cilindroeje {m}, neurita {f}";n;{n} (a nerve fibre)
ayatollah;ayatol� {m};n;{n} (a religious leader)
aye;"s�, s�";interj;{interj} /a?/ (yes)
aye;s� {m};n;{n} (affirmative vote)
Ayers Rock;Uluru {m};prop;{prop} (giant rock in Australia)
Aymara;"aimara, aymara, aimar�";prop;{prop} (indigenous people of South America)
Aymara;"idioma aimara {m}, aimara {m}, aymara {m}";prop;{prop} (language of South America)
azalea;azalea {f};n;{n} (plant)
Azerbaijan;Azerbaiy�n {m};prop;{prop} /?�z.?.ba??d???n/ (country in Eastern Europe)
Azerbaijani;azerbaiyano;adj;{adj} (pertaining to Azerbaijan)
Azerbaijani;;prop;{prop} /?�z?rba??d???ni/ (language of Azerbaijan) SEE:
Azerbaijani Turkic;;prop;{prop} (Azeri) SEE:
Azerbaijan SSR;RSS de Azerbaiy�n;prop;{prop} (Azerbaijan Soviet Socialist Republic)
Azeri;azerbaiyano;n;{n} (Azeri person)
Azeri;azerbaiyano;prop;{prop} (Azeri language)
Azeri Turkic;;prop;{prop} (Azeri) SEE:
azimuth;"azimut {m}, acimut {m}";n;{n} /?�z?m??/ (an arc of the horizon)
Azores;las Azores {f} {p};prop;{prop} (an island group)
azotemia;azotemia {f};n;{n} /�z??timi?/ (accumulation in the blood of waste products)
azuki bean;"jud�a azuki {f}, jud�a adzuki {f}";n;{n} (bean)
azuki bean;"jud�a azuki {f}, jud�a adzuki {f}";n;{n} (plant)
azure;azur;adj;{adj} (heraldry: of blue colour on a coat of arms)
azure;cielo azul;adj;{adj} (sky-blue coloured)
azure;azur;n;{n} /?�??/ (blue colour on a coat of arms)
azure;;n;{n} (lapis lazuli) SEE:
azurite;azurita {f};n;"{n} (blue, vitreous mineral)"
�lava;�lava;prop;{prop} (province)
baa;"balido {m}, be";n;{n} /b�]/ (bleating of sheep)
baa;balar;v;{v} (to make the cry of sheep)
Baba Yaga;Baba Yaga {f};prop;{prop} (hag who flies through the air in a mortar)
babble;"charla {f} , parloteo {m}";n;{n} /?b�b.??]/ (idle talk)
babble;jerigonza {f};n;{n} (inarticulate speech)
babble;gorjeo {m};n;{n} (the sound of flowing water)
babble;"murmurar, susurrar";v;"{v} (to make a continuous murmuring noise, as shallow water running over stones.)"
babble;"charlar, charlatanear, chacharear, charlotear, parlotear";v;{v} (to talk much)
babble;mascullar;v;{v} (to utter words indistinctly)
babby;;n;{n} /?b�.bi/ (baby) SEE:
babe;;n;{n} /be?b/ (baby or infant) SEE:
babehood;;n;{n} (babyhood) SEE:
babesiosis;"babesiosis {f}, babesiasis {f}";n;{n} (parasitic disease)
baboon;babuino {m};n;{n} /b??bu?n/ (primate)
babushka;;n;{n} /b??bu??.k?/ (matryoshka) SEE:
baby;"beb� {m}, nene {m}, ni�o {m}, ni�a {f}, bebe {m} [Argentina], guagua {f} [Bolivia, Chile]";n;{n} /?be?bi/ (very young human being)
baby;"nene {m}, nena {f}";n;{n} (form of address to a man or a woman considered to be attractive)
baby;"benjam�n {m}, benjamina {f}";n;{n} (lastborn of a family)
baby boom;"explosi�n de natalidad {f}, baby-boom {m}";n;{n} (any increase in the birth rate)
baby boom;"explosi�n de natalidad {f}, baby-boom {m}";n;{n} (post-World War II baby boom (1946 to 1964))
baby boomer;baby boomer;n;{n} (those born after Second World War)
baby bottle;"biber�n {m}, mamadera {f}";n;{n} (bottle with a teat)
baby boy;"chiquito {m}, ni�o {m}";n;{n} (very young male human being)
baby buggy;"cochecito (de beb�) {m}, carrito (de beb�) {m}";n;{n} (a wheeled chair for the transport of a baby)
baby carriage;;n;{n} (pram) SEE:
babyish;"infantil, pueril";adj;{adj} (like a baby)
Babylon;Babilonia {f};prop;{prop} /?b�b?.l?n/ (capital of Babylonia)
Babylonia;Babilonia;prop;{prop} /b�b??l??n??]/ (ancient region and empire of southern Mesopotamia)
Babylonian;babilonio;adj;{adj} (of or pertaining to the city of Babylon)
Babylonic;babil�nico;adj;{adj} (pertaining to Babylon)
babysit;"cuidar de los ni�os, hacer de canguro";v;"{v} /?be?bi:.s?t/ (To watch or tend someone else's child for a period of time, often for money)"
babysitter;"ni�era {f}, canguro {m} [Spain], china {f} [Costa Rica, Guatemala, Honduras, Nicaragua]";n;{n} (baby or child caretaker)
baby tooth;;n;{n} (tooth which will be replaced) SEE:
baccarat;"bacar� {m}, bacarr� {m}";n;{n} /?b�k?r�t/ (card game)
Bacchylides;Baqu�lides {m};prop;{prop} (Ancient Greek name)
Bach;Bach;prop;{prop} /ba?/ (German composer)
bachata;bachata {f};n;{n} (genre of music)
bachelor;"bachiller {m}, t�tulo de grado, licenciatura {f}";n;{n} (bachelor's degree)
bachelor;soltero {m};n;{n} /?b�t?.?.l?/ (unmarried man)
bachelor;"bachiller {m}, licenciado {m}";n;{n} (person who has achieved bachelor's degree)
bachelordom;;n;{n} (bachelorhood) SEE:
bachelorette party;despedida de soltera {f};n;{n} (bachelorette party)
bachelor party;despedida de soltero {f};n;{n} (Party)
bachelors' button;;n;{n} (plant and button) SEE:
bachelorship;;n;{n} (bachelorhood) SEE:
bacillus;bacilo {m};n;{n} /b�?s?l.?s/ (any bacteria in the genus
back;"de atr�s, trasero {m}, posterior {m}, vuelto {m}, revertido {m}, atrasado {m}";adj;{adj}
back;"de atr�s, trasero";adj;{adj} /b�k/ (near the rear)
back;"apartado, arrinconado, distante";adj;{adj} (far from the main area)
back;"anterior, viejo, atrasado";adj;{adj} (not current)
back;atr�s;adv;{adv} (away from the front or from an edge)
back;hacia atr�s;adv;{adv} (to or in a previous condition or place)
back;defensa {m};n;{n} (a position behind most players on the team)
back;"parte de atr�s, fondo {m}, trasero {m}";n;{n} (that which is farthest away from the front)
back;"respaldo {m}, espaldar {m}";n;"{n} (the backrest, the part of a piece of furniture which receives the human back)"
back;lomo {m};n;{n} (the edge of a book which is bound)
back;"fondo {m}, extremo {m}, cabo {m}";n;{n} (the part of something that goes last)
back;"espalda {f}, lomo {m}, dorso {m}";n;{n} (the rear of body)
back;"rev�s {m}, env�s {m}, reverso {m}";n;{n} (the reverse side)
back;"[vehicle] ir/dar marcha atr�s, retroceder";v;{v} (to go in the reverse direction)
back;"respaldar, sostener";v;{v} (to support)
backache;dolor de espalda {m};n;{n} /?b�ke?k/
backbite;calumniar;v;{v} (to make defamatory statements about another)
backbone;"espina dorsal {f}, columna vertebral {f}";n;{n} /?b�k?b??n/ (series of vertebrae that encloses the spinal cord)
backbone;espina dorsal {f};n;{n}
backdoor;;n;{n} (backdoor (all definitions)) SEE:
backdrop;bambalina {f};n;{n} /?b�k.d??p/ (stage scenery)
back fire;contrafuego {m};n;{n} (controlled fire)
backfire;"salir el tiro por la culata, tener efecto retroactivo, tener contraefecto";v;{v} /b�k?fa??(?)/ (fail)
backgammon;backgammon {m};n;{n} /?b�k.?�m.?n/ (board game)
background;segundo plano {m};n;{n} (activity not visible to the user)
background;formaci�n {f};n;{n} /?b�k.g?a?nd/ (social heritage)
background;fondo {m};n;{n} (computer background)
background;segundo plano {m};n;{n} (less important feature)
background;fondo {m};n;{n} (part of picture)
background;antecedente {m};n;{n} (relevant information)
backhand;rev�s {m};n;{n} /?b�kh�nd/ (stroke in tennis)
backlight;retroiluminar;v;{v} /?b�k.la?t/ (To illuminate something from behind)
backlit;retroiluminado;adj;{adj} (Illuminated from behind)
backpack;"mochila {f}, bols�n {m} [El Salvador, Guatemala, Honduras], morral {m} [Colombia, Venezuela]";n;"{n} /?b�k.p�k/ (worn on a person's back, e.g., for hiking)"
backpacker;mochilero {m};n;{n} (A traveler)
backroom;apartado {m};n;{n}
backslash;"barra inversa {f}, barra oblicua inversa {f}, barra invertida {f}, barra revertida {f}, contrabarra {f}";n;{n} /?b�k?sl�?/ (punctuation mark)
backsplash;salpicadero {m};n;{n}
backstitch;pespuntar;v;{v} (to sew with a backstitch)
backstroke;"dorso {m}, estilo espalda {m}";n;{n} (a swimming stroke swum on one's back)
back to front;al rev�s;adj;{adj}
